,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury","Fatal"
10,120,"SJ","R005.110",,,,,,,,"H"," n/a ","W"," sun ",8/23/1992,1705,926504693," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," semi w/2 trailers ","W"," n/a "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R005.390",,,,,,,,"H"," n/a ","E"," fri ",8/28/1992,10,926511098," imp. turn ","clear","dark w/lights","dry"," normal ","D"," hit object ",1," car ","E"," n/a "," unk ",0,1," median barrier  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speeding  unk "," off road ","A unk ",1,,1,
10,120,"SJ","R001.140",,,,,,,,"H"," n/a ","E"," mon ",8/31/1992,1710,926505271," unk ","clear","day","dry"," normal ","D"," hit object ",1," car ","E"," n/a "," unk ",0,1," dike or curb  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," off road ","A unk ",1,,1,
10,120,"SJ","R001.520",,,,,,,,"H"," n/a ","E"," thur ",9/10/1992,1710,926511177," oth. viol. ","clear","day","dry"," normal ","D"," hit object ",2," car ","E"," n/a "," unk ",0,0," guardrail  beyond shoulder drivers right ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," off road ","A unk ",1,1,,
10,120,"SJ","R001.520",,,,,,,,"H"," n/a ","E"," thur ",9/10/1992,1710,926511177," oth. viol. ","clear","day","dry"," normal ","D"," hit object ",2," semi w/1 trailer ","E"," n/a "," unk ",0,0," n/a  n/a ","V1 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R006.040",,,,,,,,"H"," n/a ","E"," fri ",9/11/1992,1055,926512673," speeding ","clear","day","dry"," normal ","A"," hit object ",2," semi w/2 trailers ","E"," n/a "," unk ",0,0," median barrier  beyond shoulder driver's left ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," other ","A unk ",1,1,,
10,120,"SJ","R006.040",,,,,,,,"H"," n/a ","E"," fri ",9/11/1992,1055,926512673," speeding ","clear","day","dry"," normal ","A"," hit object ",2," car ","E"," n/a "," unk ",0,0," n/a  n/a ","V1 right lane "," median barrier  beyond shoulder driver's left "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R006.450",,,,,,,,"H"," n/a ","W"," tue ",9/15/1992,535,926509277," imp. turn ","clear","dark","dry"," normal ","A"," rear-end ",2," car ","W"," n/a "," unk ",0,0,"V2 right shoulder "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," straight ","A unk ",1,1,,
10,120,"SJ","R006.450",,,,,,,,"H"," n/a ","W"," tue ",9/15/1992,535,926509277," imp. turn ","clear","dark","dry"," normal ","A"," rear-end ",2," semi w/1 trailer ","W"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," straight ","A unk ",,,,
10,120,"SJ","R005.810",,,,,,,,"H"," n/a ","W"," fri ",9/18/1992,700,926510006," not driver ","clear","day","dry"," normal ","D"," hit object ",1," car ","W"," n/a "," unk ",0,0," median barrier  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," def. veh.  unk "," off road ","A unk ",1,1,,
